C:\Users\user\Downloads\1727-07 GBMC-20_2020-06-06 17_37_49.scn
C:\Users\user\Downloads\1727-07 GBMC-20_2020-06-06 17_37_49.xml
0.0 0.0 45174.0 38039.0
Samplefile-tile-r100-c100-x7680-y8192-w256-h256.png Mitosis8 3 0.9368581650150148
Samplefile-tile-r100-c100-x8192-y11008-w256-h256.png Mitosis9 3 1.9550782140933087
Samplefile-tile-r100-c100-x8448-y8704-w256-h256.png Mitosis10 3 1.903628787406921
Samplefile-tile-r100-c100-x8960-y7424-w256-h256.png Mitosis11 1 0.9093387042288799
Samplefile-tile-r100-c100-x8960-y7680-w256-h256.png Mitosis11 1 0.9093387042288799
Samplefile-tile-r100-c100-x9216-y6912-w256-h256.png Mitosis7 3 2.9924422358920135
Samplefile-tile-r100-c100-x10496-y6912-w256-h256.png Mitosis6 3 1.4214399745057236
Samplefile-tile-r100-c100-x11776-y8448-w256-h256.png Mitosis14 3 2.2494167946715415
Samplefile-tile-r100-c100-x11776-y10752-w256-h256.png Mitosis15 3 1.301790145002299
Samplefile-tile-r100-c100-x11776-y10752-w256-h256.png Mitosis16 3 2.02447511520452
Samplefile-tile-r100-c100-x11776-y12288-w256-h256.png Mitosis18 3 1.3352920972629239
Samplefile-tile-r100-c100-x12032-y6656-w256-h256.png Mitosis12 3 1.6846695994145975
Samplefile-tile-r100-c100-x12032-y13312-w256-h256.png Mitosis20 3 2.2254868287713165
Samplefile-tile-r100-c100-x12288-y5888-w256-h256.png Mitosis4 3 1.386260986328125
Samplefile-tile-r100-c100-x12288-y27392-w256-h256.png Mitosis90 3 1.373580042702627
Samplefile-tile-r100-c100-x12544-y9984-w256-h256.png Mitosis21 1 1.6751774111863744
Samplefile-tile-r100-c100-x12800-y9984-w256-h256.png Mitosis21 1 0.009492188228369646
Samplefile-tile-r100-c100-x12800-y11264-w256-h256.png Nitosis38 3 1.4214399745055954
Samplefile-tile-r100-c100-x13056-y6912-w256-h256.png Mitosis25 3 1.166585837662246
Samplefile-tile-r100-c100-x13056-y8192-w256-h256.png Mitosis22 3 2.6849421740670643
Samplefile-tile-r100-c100-x13056-y8192-w256-h256.png Mitosis23 3 1.301790145002299
Samplefile-tile-r100-c100-x13056-y10496-w256-h256.png Mitosis37 3 1.7767999681317628
Samplefile-tile-r100-c100-x13312-y8448-w256-h256.png Mitosis28 3 2.9673157716951883
Samplefile-tile-r100-c100-x13568-y6656-w256-h256.png Mitosis24 3 2.3666736275865263
Samplefile-tile-r100-c100-x13568-y7680-w256-h256.png Mitosis29 1 1.231378482453432
Samplefile-tile-r100-c100-x13568-y8960-w256-h256.png Mitosis31 1 0.11910845339886261
Samplefile-tile-r100-c100-x13568-y8960-w256-h256.png Mitosis34 1 3.2253919732764134
Samplefile-tile-r100-c100-x13568-y9216-w256-h256.png Mitosis34 1 0.5101740736324311
Samplefile-tile-r100-c100-x13568-y9984-w256-h256.png Mitosis36 3 1.9682396953377825
Samplefile-tile-r100-c100-x13824-y7680-w256-h256.png Mitosis26 3 1.7588524937063625
Samplefile-tile-r100-c100-x13824-y7680-w256-h256.png Mitosis29 1 0.029730720517286535
Samplefile-tile-r100-c100-x13824-y8704-w256-h256.png Mitosis30 3 1.0912064450752026
Samplefile-tile-r100-c100-x13824-y8960-w256-h256.png Mitosis31 1 1.388479398349978
Samplefile-tile-r100-c100-x13824-y8960-w256-h256.png Mitosis34 1 1.4818107205350428
Samplefile-tile-r100-c100-x13824-y9216-w256-h256.png Mitosis34 1 0.14293559432855943
Samplefile-tile-r100-c100-x13824-y9728-w256-h256.png Mitosis35 1 2.57563545171548
Samplefile-tile-r100-c100-x14080-y8704-w256-h256.png Mitosis30 1 0.0
Samplefile-tile-r100-c100-x14080-y9728-w256-h256.png Mitosis35 1 0.23134954844501793
Samplefile-tile-r100-c100-x14080-y11008-w256-h256.png Mitosis39 3 1.819873906753416
Samplefile-tile-r100-c100-x14336-y8960-w256-h256.png Mitosis48 1 0.5778442249176468
Samplefile-tile-r100-c100-x14336-y9216-w256-h256.png Mitosis46 3 1.2395722336605872
Samplefile-tile-r100-c100-x14336-y9216-w256-h256.png Mitosis47 3 1.4238329710961044
Samplefile-tile-r100-c100-x14336-y9216-w256-h256.png Mitosis48 1 1.0015335245328785
Samplefile-tile-r100-c100-x14592-y7680-w256-h256.png Mitosis42 3 0.9871110934067386
Samplefile-tile-r100-c100-x14592-y8192-w256-h256.png Mitosis43 1 0.0
Samplefile-tile-r100-c100-x14592-y8448-w256-h256.png Mitosis43 1 0.9508797923191007
Samplefile-tile-r100-c100-x14592-y11008-w256-h256.png Mitosis40 1 0.5378115793350969
Samplefile-tile-r100-c100-x14592-y11264-w256-h256.png Mitosis40 1 0.0070414915898742965
Samplefile-tile-r100-c100-x14848-y8448-w256-h256.png Mitosis43 1 0.11161069367570077
Samplefile-tile-r100-c100-x14848-y8448-w256-h256.png Mitosis44 3 1.149834861532125
Samplefile-tile-r100-c100-x14848-y11008-w256-h256.png Mitosis40 1 0.9778725508240207
Samplefile-tile-r100-c100-x14848-y11264-w256-h256.png Mitosis40 1 0.035115158391298834
Samplefile-tile-r100-c100-x15104-y6912-w256-h256.png Mitosis41 3 1.0912064450749883
Samplefile-tile-r100-c100-x15616-y6912-w256-h256.png Mitosis49 3 4.510798572293068
Samplefile-tile-r100-c100-x15616-y25856-w256-h256.png Mitosis92 3 1.3819555307686033
Samplefile-tile-r100-c100-x15872-y26112-w256-h256.png Mitosis91 3 1.3999030051936074
Samplefile-tile-r100-c100-x16896-y7680-w256-h256.png Mitosis51 3 1.6822766028222906
Samplefile-tile-r100-c100-x16896-y33536-w256-h256.png Mitosis94 3 2.160875920838403
Samplefile-tile-r100-c100-x17152-y7424-w256-h256.png Mitosis50 3 1.3819555307685023
Samplefile-tile-r100-c100-x17152-y30464-w256-h256.png Mitosis97 3 1.340078090440179
Samplefile-tile-r100-c100-x17408-y31488-w256-h256.png Mitosis96 3 1.9814011765813635
Samplefile-tile-r100-c100-x17408-y34048-w256-h256.png Mitosis93 1 0.7811464303621798
Samplefile-tile-r100-c100-x17408-y34304-w256-h256.png Mitosis93 1 1.9743891431076233
Samplefile-tile-r100-c100-x17664-y32768-w256-h256.png Mitosis95 1 0.9340462495710695
Samplefile-tile-r100-c100-x17920-y32768-w256-h256.png Mitosis95 1 0.7027634180410766
Samplefile-tile-r100-c100-x18688-y7168-w256-h256.png Mitosis52 1 3.089568279933515
Samplefile-tile-r100-c100-x18944-y7168-w256-h256.png Mitosis52 1 0.5118915881299296
Samplefile-tile-r100-c100-x20224-y768-w256-h256.png Mitosis59 3 2.5270043991202575
Samplefile-tile-r100-c100-x20480-y3072-w256-h256.png Mitosis65 3 2.550934365019701
Samplefile-tile-r100-c100-x20480-y3840-w256-h256.png Mitosis68 1 0.32419094201937626
Samplefile-tile-r100-c100-x20480-y3840-w256-h256.png Mitosis69 3 1.4214399745057111
Samplefile-tile-r100-c100-x20480-y8192-w256-h256.png Mitosis55 3 1.4226364727992817
Samplefile-tile-r100-c100-x20736-y3840-w256-h256.png Mitosis66 3 2.410944064502566
Samplefile-tile-r100-c100-x20736-y3840-w256-h256.png Mitosis67 3 1.7492805073451512
Samplefile-tile-r100-c100-x20736-y3840-w256-h256.png Mitosis68 1 0.6629201513863455
Samplefile-tile-r100-c100-x20736-y7680-w256-h256.png Mitosis53 1 0.08563922755972153
Samplefile-tile-r100-c100-x20736-y7936-w256-h256.png Mitosis53 1 1.2161509174414293
Samplefile-tile-r100-c100-x20736-y7936-w256-h256.png Mitosis54 3 1.9622572038614936
Samplefile-tile-r100-c100-x21504-y1792-w256-h256.png Mitosis60 3 1.9478992243219813
Samplefile-tile-r100-c100-x21504-y2048-w256-h256.png Mitosis61 1 0.0
Samplefile-tile-r100-c100-x21504-y2048-w256-h256.png Mitosis62 1 1.7397410477693573
Samplefile-tile-r100-c100-x21504-y2048-w256-h256.png Mitosis63 1 0.031235649298930926
Samplefile-tile-r100-c100-x21504-y2048-w256-h256.png Mitosis64 3 1.4645139131270217
Samplefile-tile-r100-c100-x21504-y4352-w256-h256.png Mitosis71 1 1.2153346565496794
Samplefile-tile-r100-c100-x21760-y2048-w256-h256.png Mitosis61 3 1.6978310806583141
Samplefile-tile-r100-c100-x21760-y2048-w256-h256.png Mitosis62 1 0.07654336409823477
Samplefile-tile-r100-c100-x21760-y2048-w256-h256.png Mitosis63 1 1.9166635750230483
Samplefile-tile-r100-c100-x21760-y4352-w256-h256.png Mitosis71 1 1.5988293333773975
Samplefile-tile-r100-c100-x21760-y4864-w256-h256.png Mitosis70 3 1.5051948551573204
Samplefile-tile-r100-c100-x21760-y9216-w256-h256.png Mitosis79 1 1.6280380348933148
Samplefile-tile-r100-c100-x22016-y3072-w256-h256.png Mitosis75 1 3.0972467150889265
Samplefile-tile-r100-c100-x22016-y3584-w256-h256.png Mitosis72 3 0.9189106905891442
